Fr01;1400;L ABERGEMENT CLEMENCIAT;France
Fr02;1640;L ABERGEMENT DE VAREY;France
Fr03;1090;AMAREINS;France
Fr04;1500;AMBERIEU EN BUGEY;France
Fr05;1330;AMBERIEUX EN DOMBES;France
Fr06;1300;AMBLEON;France
Fr07;1500;AMBRONAY;France
Fr08;1500;AMBUTRIX;France
Fr09;1300;ANDERT ET CONDON;France
Fr10;1350;ANGLEFORT;France
Fr11;1100;APREMONT;France
Fr12;1110;ARANC;France
Fr13;1230;ARANDAS;France
Fr14;1100;ARBENT;France
Fr15;1300;ARBIGNIEU;France
Fr16;1190;ARBIGNY;France
Fr17;1230;ARGIS;France
Fr18;1510;ARMIX;France
Fr19;1480;ARS SUR FORMANS;France
Fr20;1510;ARTEMARE;France
Fr21;1570;ASNIERES SUR SAONE;France
Fr22;1340;ATTIGNAT;France
Fr23;1380;BAGE LA VILLE;France
Fr24;1380;BAGE LE CHATEL;France
Fr25;1360;BALAN;France
Fr26;1990;BANEINS;France
Fr27;1270;BEAUPONT;France
Fr28;1480;BEAUREGARD;France
Fr29;1810;BELLIGNAT;France
Fr30;1360;BELIGNEUX;France
Fr31;1200;BELLEGARDE SUR VALSERINE;France
Fr32;1300;BELLEY;France
Fr33;1130;BELLEYDOUX;France
Fr34;1260;BELMONT LUTHEZIEU;France
Fr35;1470;BENONCES;France
Fr36;1370;BENY;France
Fr37;1350;BEON;France
Fr38;1340;BEREZIAT;France
Fr39;1500;BETTANT;France
Fr40;1290;BEY;France
Fr41;1700;BEYNOST;France
Fr42;1200;BILLIAT;France
Fr43;1330;BIRIEUX;France
Fr44;1290;BIZIAT;France
Fr45;1150;BLYES;France
Fr46;1250;BOHAS;France
Fr47;1120;LA BOISSE;France
Fr48;1190;BOISSEY;France
Fr49;1450;BOLOZON;France
Fr50;1330;BOULIGNEUX;France
Fr51;1000;BOURG EN BRESSE;France
Fr52;1800;BOURG ST CHRISTOPHE;France
Fr53;1100;BOUVENT;France
Fr54;1640;BOYEUX ST JEROME;France
